group_id	prompt	win_utt	win_wav	lose_utt	lose_wav	input_num_candidates	num_candidates	dedupe_dropped_audio	final_pair_best_votes	final_pair_avg_margin	final_pair_avg_confidence
cer_000209	可以联系您的保险公司进行处理。	cer_000209_006	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000209_006.wav	cer_000209_025	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000209_025.wav	30	30	0	3	3.3333	5.0
cer_000208	语音王和融合套餐等。	cer_000208_014	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000208_014.wav	cer_000208_025	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000208_025.wav	30	30	0	3	3.6667	5.0
cer_000202	不过为了能更高效地为您服务。	cer_000202_027	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000202_027.wav	cer_000202_024	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000202_024.wav	30	30	0	2	1.0	4.0
cer_000206	请问您是需要预约宽带安装。	cer_000206_006	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000206_006.wav	cer_000206_019	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000206_019.wav	30	30	0	3	3.6667	5.0
cer_000205	王女士，您查询的套餐是九十九元档。	cer_000205_020	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000205_020.wav	cer_000205_000	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000205_000.wav	30	30	0	3	3.0	5.0
cer2_014_000002	我腿骨折了，正在挂点滴。警察来过了，责任认定书还没出，但我车上一个朋友伤得很重，送去抢救没挺过来……	cer2_014_000002_029	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000002_029.wav	cer2_014_000002_018	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000002_018.wav	60	30	30	3	3.3333	5.0
cer_000561	每月一百元。	cer_000561_001	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000561_001.wav	cer_000561_018	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000561_018.wav	30	30	0	3	2.6667	5.0
cer_000556	比如，五季的月包二十元。	cer_000556_024	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000556_024.wav	cer_000556_019	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000556_019.wav	30	30	0	3	4.0	5.0
cer2_014_000000	喂，你好，我出车祸了，撞得挺严重的，现在人在医院，想问下怎么报案？	cer2_014_000000_013	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000000_013.wav	cer2_014_000000_009	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000000_009.wav	60	30	30	3	3.6667	5.0
cer2_014_000005	好的，张先生，系统已查到您的保单。 您这辆车投保了交强险、商业三者险以及车上人员责任险。为了后续理赔，请问事故发生的具体时间和地点您还记得吗？	cer2_014_000005_014	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000005_014.wav	cer2_014_000005_012	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000005_012.wav	60	30	30	3	3.6667	5.0
cer_000555	为了更好地帮您查询。	cer_000555_019	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000555_019.wav	cer_000555_028	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000555_028.wav	30	30	0	3	1.6667	4.3333
cer2_014_000004	车牌是 沪A·88866，我叫张三。	cer2_014_000004_000	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000004_000.wav	cer2_014_000004_019	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_014_000004_019.wav	60	30	30	2	4.0	5.0
cer_000910	请问您需要办理宽带安装服务吗？	cer_000910_021	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000910_021.wav	cer_000910_002	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000910_002.wav	30	30	0	3	4.0	5.0
cer2_013_000016	好的张先生，感谢您的认可。最后提醒您，请务必通过官方渠道操作，不要相信任何陌生链接。稍后如果您在申请过程中有任何疑问，可以随时拨打我的办公直拨电话。祝您生活愉快，再见。	cer2_013_000016_027	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_013_000016_027.wav	cer2_013_000016_023	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_013_000016_023.wav	60	30	30	3	4.0	5.0
cer_000558	为了查询您本月的话费。	cer_000558_029	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000558_029.wav	cer_000558_011	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000558_011.wav	30	30	0	2	1.0	4.0
cer_001259	请问您可以具体说明一下遇到的问题吗？	cer_001259_001	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001259_001.wav	cer_001259_015	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001259_015.wav	30	30	0	3	4.0	5.0
cer_000907	杨先生，您六月的话费消费金额为一百二十三元。	cer_000907_008	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000907_008.wav	cer_000907_002	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000907_002.wav	30	30	0	3	3.0	5.0
cer_000911	看看是否能接收到信号。	cer_000911_024	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000911_024.wav	cer_000911_020	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000911_020.wav	30	30	0	3	2.0	4.0
cer_001265	还是家里的wifi路由器上不了网呢？	cer_001265_018	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001265_018.wav	cer_001265_029	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001265_029.wav	30	30	0	3	4.0	5.0
cer_001261	宽带等业务呢？	cer_001261_029	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001261_029.wav	cer_001261_018	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001261_018.wav	30	30	0	3	2.3333	4.6667
cer_001262	好，你稍等一下。	cer_001262_025	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001262_025.wav	cer_001262_006	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001262_006.wav	30	30	0	3	3.0	5.0
cer2_004_000021	好的，再见。	cer2_004_000021_015	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_004_000021_015.wav	cer2_004_000021_028	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_004_000021_028.wav	60	30	30	2	1.3333	5.0
cer2_005_000005	我家里小孩已经有电话卡了，每个月扣三十多块钱，办这个有什么好处？	cer2_005_000005_013	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000005_013.wav	cer2_005_000005_022	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000005_022.wav	60	30	30	3	2.6667	5.0
cer_001263	请问您是想为您本人的号码办理降档。	cer_001263_024	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001263_024.wav	cer_001263_015	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001263_015.wav	30	30	0	3	3.6667	5.0
cer_000037	很抱歉，王女士。	cer_000037_012	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000037_012.wav	cer_000037_022	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000037_022.wav	30	30	0	3	4.0	5.0
cer2_005_000001	是的，是我，有什么事吗？	cer2_005_000001_012	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000001_012.wav	cer2_005_000001_018	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000001_018.wav	60	30	30	3	3.3333	5.0
cer_000036	请问您需要了解相关的流量套餐吗？	cer_000036_011	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000036_011.wav	cer_000036_001	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000036_001.wav	30	30	0	3	3.0	5.0
cer_000038	您可以登录中国电信的官方网站。	cer_000038_024	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000038_024.wav	cer_000038_002	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000038_002.wav	30	30	0	2	1.6667	5.0
cer2_005_000004	其实是帮您省钱的。您可以为您家里的老人或小孩申领一张移动副卡。这张卡不需要单独办理套餐，直接共享您主卡里的几百 GB 流量和通话分钟数。这样一来，家里人就不用再每月额外缴纳几十块的话费了。	cer2_005_000004_023	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000004_023.wav	cer2_005_000004_007	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000004_007.wav	60	30	30	2	1.3333	5.0
cer_000393	您需要我为您详细介绍吗？	cer_000393_023	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000393_023.wav	cer_000393_005	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000393_005.wav	30	30	0	3	2.6667	4.3333
cer2_005_000002	感谢您的接听。今天致电给您，主要是看到您目前使用的 158 元移动全家桶套餐，每月的通用流量和通话时长都有不少剩余，为了避免资源浪费，近期我们为您推出了一项“全家共享”的增值服务，想简单为您说明一下。	cer2_005_000002_017	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000002_017.wav	cer2_005_000002_019	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000002_019.wav	60	30	30	3	2.3333	4.3333
cer_000741	稍后会有专人联系您。	cer_000741_027	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000741_027.wav	cer_000741_010	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000741_010.wav	30	30	0	3	3.0	5.0
cer_000392	您二月总共用了六季的数据流量。	cer_000392_010	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000392_010.wav	cer_000392_029	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000392_029.wav	30	30	0	3	2.6667	4.6667
cer2_005_000003	全家共享？是什么意思，要额外加钱吗？	cer2_005_000003_004	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000003_004.wav	cer2_005_000003_007	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer2_005_000003_007.wav	60	30	30	3	3.6667	5.0
cer_000039	抱歉，我无法查询银行卡余额。	cer_000039_008	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000039_008.wav	cer_000039_028	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_000039_028.wav	30	30	0	3	4.0	5.0
cer_001443	需要我帮您查询吗？	cer_001443_026	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001443_026.wav	cer_001443_014	/home/work_nfs22/hkxie/data/kefu/midterm_data/cer_001443_014.wav	30	30	0	3	3.6667	5.0
