group_id	prompt	win_utt	win_wav	lose_utt	lose_wav
37960	<|spk_1|>那这样女士，麻烦您听到一段音乐后不要挂机，我联系骑手核实一下情况，您不要挂机，我马上转接回来，不客气，嗯。	37960_028	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/37960_028.wav	37960_021	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/37960_021.wav
07438	<|spk_1|>麻烦您对我的服务态度做个评价非常感谢您的支持。	07438_018	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/07438_018.wav	07438_024	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/07438_024.wav
40749	<|spk_1|>火鸡面也是有问题的是吧?	40749_018	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/40749_018.wav	40749_028	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/40749_028.wav
45537	<|spk_1|>还没有人接单是吧？请您稍等我查看一下。	45537_023	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/45537_023.wav	45537_029	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/45537_029.wav
37843	<|spk_1|>阳山一号鸡汤饭是这家吗？	37843_021	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/37843_021.wav	37843_024	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/37843_024.wav
01952	<|spk_1|>五七零二是这样情况吗先生。	01952_026	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/01952_026.wav	01952_019	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/01952_019.wav
43119	<|spk_1|>好的先，好的先生我会跟进到您收餐的，请您放心您保持电话畅通就可以了。	43119_019	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/43119_019.wav	43119_020	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/43119_020.wav
39814	<|spk_1|>那这样先生，我，我会以充值卡的形式充值到您的美团账户钱包余额中，这笔钱呢可以进行直接消费进行提现的，一个小时之内充值到账。	39814_000	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/39814_000.wav	39814_024	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/39814_024.wav
18010	<|spk_1|>呃是无人接听嘟嘟响无人接听。	18010_024	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/18010_024.wav	18010_021	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/18010_021.wav
34977	<|spk_1|>非常抱歉给您带来麻烦了先那这样先生我麻烦您我看到咱们点这个餐品里面有这个葱油饼这些您咱们收到是哪个餐品呢。	34977_015	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/34977_015.wav	34977_019	/home/work_nfs22/xmren/data/kefu/90w_tokens_noseed/34977_019.wav
